Image,Method,Operator,Gaussian Kernel,Lower Threshold,Upper Threshold,Num Edges
1.jpg,Canny,Sobel,"(3, 3)",50,150,33700
1.jpg,Canny,Sobel,"(3, 3)",100,200,17954
1.jpg,Canny,Sobel,"(3, 3)",150,250,10410
1.jpg,Canny,Sobel,"(5, 5)",50,150,25201
1.jpg,Canny,Sobel,"(5, 5)",100,200,12890
1.jpg,Canny,Sobel,"(5, 5)",150,250,7061
1.jpg,Canny,Sobel,"(7, 7)",50,150,16705
1.jpg,Canny,Sobel,"(7, 7)",100,200,8214
1.jpg,Canny,Sobel,"(7, 7)",150,250,4538
1.jpg,Canny,Scharr,"(3, 3)",50,150,229782
1.jpg,Canny,Scharr,"(3, 3)",100,200,165844
1.jpg,Canny,Scharr,"(3, 3)",150,250,139936
1.jpg,Canny,Scharr,"(5, 5)",50,150,197142
1.jpg,Canny,Scharr,"(5, 5)",100,200,149852
1.jpg,Canny,Scharr,"(5, 5)",150,250,126771
1.jpg,Canny,Scharr,"(7, 7)",50,150,168029
1.jpg,Canny,Scharr,"(7, 7)",100,200,130315
1.jpg,Canny,Scharr,"(7, 7)",150,250,109194
1.jpg,Laplacian,N/A,N/A,N/A,N/A,12830
1.jpg,Prewitt,N/A,N/A,N/A,N/A,52004
1.jpg,Zero_Crossing,N/A,N/A,N/A,N/A,18797
1.jpg,Difference_of_Gaussians,N/A,N/A,N/A,N/A,1252
2.jpg,Canny,Sobel,"(3, 3)",50,150,83982
2.jpg,Canny,Sobel,"(3, 3)",100,200,55730
2.jpg,Canny,Sobel,"(3, 3)",150,250,37372
2.jpg,Canny,Sobel,"(5, 5)",50,150,58804
2.jpg,Canny,Sobel,"(5, 5)",100,200,35411
2.jpg,Canny,Sobel,"(5, 5)",150,250,22410
2.jpg,Canny,Sobel,"(7, 7)",50,150,37242
2.jpg,Canny,Sobel,"(7, 7)",100,200,19228
2.jpg,Canny,Sobel,"(7, 7)",150,250,9255
2.jpg,Canny,Scharr,"(3, 3)",50,150,300604
2.jpg,Canny,Scharr,"(3, 3)",100,200,227238
2.jpg,Canny,Scharr,"(3, 3)",150,250,194676
2.jpg,Canny,Scharr,"(5, 5)",50,150,256389
2.jpg,Canny,Scharr,"(5, 5)",100,200,201789
2.jpg,Canny,Scharr,"(5, 5)",150,250,176157
2.jpg,Canny,Scharr,"(7, 7)",50,150,221186
2.jpg,Canny,Scharr,"(7, 7)",100,200,178203
2.jpg,Canny,Scharr,"(7, 7)",150,250,153129
2.jpg,Laplacian,N/A,N/A,N/A,N/A,150330
2.jpg,Prewitt,N/A,N/A,N/A,N/A,157746
2.jpg,Zero_Crossing,N/A,N/A,N/A,N/A,31039
2.jpg,Difference_of_Gaussians,N/A,N/A,N/A,N/A,10860
3.jpg,Canny,Sobel,"(3, 3)",50,150,29580
3.jpg,Canny,Sobel,"(3, 3)",100,200,22564
3.jpg,Canny,Sobel,"(3, 3)",150,250,17465
